metadata_alive,metadata_alive_since,metadata_anonymity,metadata_average_timeout,metadata_first_seen,metadata_asn,metadata_asname,metadata_city,metadata_continent,metadata_continent_code,metadata_country,metadata_country_code,metadata_district,metadata_hosting,metadata_isp,metadata_latitude,metadata_longitude,metadata_mobile,metadata_org,metadata_proxy,metadata_region,metadata_status,metadata_timezone,metadata_zip,metadata_last_update,metadata_last_seen,dest_port,metadata_protocol,metadata_proxy_address,metadata_ssl,metadata_timeout,metadata_times_alive,metadata_times_dead,metadata_uptime,dest_ip
True,1788912349.7885,elite,3695.7874817477,1788871345.4044,"AS210976 Timeweb, LLP",TWC-EU,Amsterdam,Europe,EU,The Netherlands,NL,,False,"Timeweb, LLP",52.3676,4.90414,False,"Timeweb, LLP",False,North Holland,success,Europe/Amsterdam,1012,1788871625,1788912420.4094,1080,socks4,89.19.216.187:1080,True,52.959203720093,2210,743,74.839146630545,89.19.216.187
True,1788890694.4709,elite,1222.1449306307,1783526730.3243,AS17252 Colocation America Corporation,AS2-COLOAM,Los Angeles,North America,,United States,US,,True,Vault Host,34.0549,-118.243,False,Equinox Servers,True,California,success,America/Los_Angeles,90009,1788362357,1788912420.3849,8081,http,23.228.86.236:8081,False,387.92252540588,91903,61,99.933669696838,23.228.86.236
True,1788912420.3459,elite,1975.7901819416,1710564534.0638,AS200780 Eurofiber France SAS,APPLIWAVE,Paris,Europe,EU,France,FR,,False,Eurofiber France SAS,48.8763,2.29212,False,Avelia,True,Île-de-France,success,Europe/Paris,75017,1788480658,1788912420.3459,5678,socks4,95.178.108.189:5678,True,189.21422958374,216198,985125,17.996658683801,95.178.108.189
True,1788912420.3444,elite,3964.7489406674,1788497745.9077,AS23956 AmberIT Limited,AMBERIT-BD-AS,Madaripur,Asia,AS,Bangladesh,BD,,False,Tiger Telecommunication Company,23.166,90.2079,False,Dhakacom Limited,False,Dhaka Division,success,Asia/Dhaka,7900,1788496381,1788912420.3444,9090,socks5,118.179.144.142:9090,True,1819.3726539612,7554,5514,57.805325987144,118.179.144.142
True,1788720014.6561,elite,2289.3836132136,1776081958.7435,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Macon,North America,,United States,US,,False,Cox Communications Inc.,32.8407,-83.6324,False,Cox Communications Inc.,True,Georgia,success,America/New_York,31202,1788780256,1788912420.2446,4145,socks5,184.182.240.211:4145,True,2102.5807857513,299076,526,99.824433748773,184.182.240.211
True,1788912420.2178,elite,3921.9218565935,1783329591.4473,AS42532 SIA VEESP,VEESP-LV-AS,Riga,Europe,EU,Latvia,LV,,True,SIA VEESP,56.9728,24.1657,False,SIA VEESP,True,Rīga,success,Europe/Riga,LV-1011,1788770679,1788912420.2178,1080,socks5,195.135.255.98:1080,True,1200.0908851624,124157,49985,71.296413271928,195.135.255.98
True,1788912363.1114,elite,4247.6219433692,1776080488.4276,AS23923 Agni Systems Limited,AGNI-AS,Dhaka,Asia,AS,Bangladesh,BD,,False,Agni Systems Limited,23.7891,90.4126,False,Agni Systems Ltd.,True,Dhaka Division,success,Asia/Dhaka,1212,1788868417,1788912420.1296,22122,socks5,119.148.7.10:22122,True,2278.8927555084,98386,78251,55.699541998562,119.148.7.10
True,1788912222.0162,elite,12155.245353631,1787033148.4265,AS24940 Hetzner Online GmbH,HETZNER-AS,Frankfurt Am Main,Europe,EU,Germany,DE,,True,Hetzner Online AG,50.094,8.4971,False,Hetzner Online AG,True,Hesse,success,Europe/Berlin,65931,1788844098,1788912420.0719,9081,socks5,91.107.243.254:9081,True,867.86389350891,6160,27010,18.570997889659,91.107.243.254
True,1788912399.657,elite,3199.6606938697,1786673353.2466,"AS45582 VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA",VAINAVIINDUSTRIESLTD-IN,Nandyāl,Asia,AS,India,IN,,False,"VAINAVI INDUSTIES LTD, INTERNET SERVICE PROVIDER, INDIA",15.478,78.4836,False,Vainavi Industries Ltd,True,Andhra Pradesh,success,Asia/Kolkata,518501,1788485950,1788912420.0516,4153,socks4,119.235.50.78:4153,True,1882.2042942047,41282,59272,41.054557750065,119.235.50.78
True,1788912420.0426,elite,3973.3781726233,1784486298.1996,AS215439 PLAY2GO INTERNATIONAL LIMITED,PLAY2GO-NET,Frankfurt Am Main,Europe,EU,Germany,DE,,True,PLAY2GO LTD,50.1109,8.6821,False,PLAY2GO LTD,True,Hesse,success,Europe/Berlin,,1788718141,1788912420.0426,1080,socks5,45.133.251.223:1080,True,2142.0726776123,36120,66613,35.159101749195,45.133.251.223
True,1788885460.5709,elite,1178.2142521781,1785069160.8456,AS20081 NET2ATLANTA.COM LLC,NET2ATLANTA,Atlanta,North America,,United States,US,,False,NET2ATLANTA.COM LLC,33.7838,-84.4455,False,NET2ATLANTA.COM LLC,True,Georgia,success,America/New_York,30318,1788694618,1788912420.0127,4145,socks5,199.66.182.243:4145,True,896.48342132568,200680,173,99.913867355728,199.66.182.243
True,1788912411.5101,elite,2522.5096215527,1696985894.4675,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Pensacola,North America,,United States,US,,False,Cox Communications Inc.,30.4077,-87.219,False,Cox Communications,True,Florida,success,America/Chicago,32516,1788567640,1788912420.0014,57745,socks4,70.166.167.55:57745,True,1824.569940567,603642,946382,38.944042156767,70.166.167.55
True,1788912384.8489,elite,3055.3838107552,1787939056.1957,AS151538 PT Flashnet Inovasi Teknologi,IDNIC-FLASHNETID-AS-ID,Garut,Asia,AS,Indonesia,ID,,False,PT Flashnet Inovasi Teknologi,-7.2174,107.897,False,PT Flashnet Inovasi Teknologi,True,West Java,success,Asia/Jakarta,44163,1788540860,1788912419.9591,80,socks4,103.248.9.69:80,True,907.98115730286,37434,23146,61.792670848465,103.248.9.69
True,1788798682.1328,elite,411.86714581475,1786461658.7064,AS46606 Unified Layer,UNIFIEDLAYER-AS-1,Provo,North America,,United States,US,East Bay,True,Unified Layer,40.2066,-111.643,False,Unified Layer,True,Utah,success,America/Denver,84606,1788877572,1788912419.8212,8085,http,162.214.74.29:8085,False,451.85279846191,44999,170,99.623635679338,162.214.74.29
True,1788912419.7809,elite,3689.6038062812,1776089422.2298,AS139967 PT. Yasmin Amanah Media,YAMNET-AS-ID,Wonogiri,Asia,AS,Indonesia,ID,,False,YAMNET,-7.81444,110.921,False,,True,Central Java,success,Asia/Jakarta,,1788786926,1788912419.7809,1083,socks4,103.146.185.170:1083,True,909.13581848145,74524,336024,18.15232323626,103.146.185.170
True,1788742469.1556,anonymous,1016.8936606054,1754902129.2269,AS45899 VNPT Corp,VNPT-AS-VN,Ho Chi Minh City,Asia,AS,Vietnam,VN,,False,VNPT,10.822,106.6257,False,Vietnam Posts and Telecommunications Group,True,Ho Chi Minh,success,Asia/Ho_Chi_Minh,700000,1788641766,1788912419.775,80,http,14.161.10.46:80,False,800.07362365723,27118,551,98.008601684195,14.161.10.46
True,1788912325.3613,elite,3036.5297012697,1710540276.2608,AS5769 Videotron Ltee,VIDEOTRON,Montreal,North America,,Canada,CA,,False,Videotron Ltee,45.518,-73.6048,False,Videotron Ltee,True,Quebec,success,America/Toronto,H2V,1788308927,1788912419.7649,5678,socks4,45.73.0.118:5678,True,546.35906219482,383602,1048182,26.791890396876,45.73.0.118
True,1788912293.4699,elite,2087.5193568228,1785763099.2937,AS198610 Beget LLC,BEGET-AS,St Petersburg,Europe,EU,Russia,RU,,False,Beget LLC,59.9417,30.3096,False,Beget LLC,True,St.-Petersburg,success,Europe/Moscow,195213,1788784534,1788912419.6873,1080,socks5,46.173.26.104:1080,True,296.06509208679,36998,41458,47.157642500255,46.173.26.104
True,1788912420.3489,elite,4013.0186712937,1710575832.5007,AS4134 CHINANET BACKBONE,CHINANET-BACKBONE,Chengdu,Asia,AS,China,CN,,False,Chinanet,30.6667,104.0667,False,Chinanet SC,True,Sichuan,success,Asia/Shanghai,,1788886627,1788912419.6569,5678,socks4,222.212.85.149:5678,True,2398.3054161072,277088,973911,22.149338248872,222.212.85.149
True,1788888664.2331,elite,784.99755711648,1786440415.7358,"AS20473 The Constant Company, LLC",AS-VULTR,Miami,North America,,United States,US,,True,The Constant Company,25.8119,-80.2318,False,"Vultr Holdings, LLC",True,Florida,success,America/New_York,33142,1788625701,1788912419.6354,1088,socks5,45.32.160.61:1088,True,720.11423110962,21470,205,99.054209919262,45.32.160.61
True,1788912315.0134,elite,2589.8228394734,1710540232.2685,AS42673 Skyware Sp. z o.o.,SKYWARE-AS,Rzeszów,Europe,EU,Poland,PL,,False,Skyware Sp. z o.o.,50.0439,21.9587,False,Skyware Sp. z o.o,True,Subcarpathia,success,Europe/Warsaw,35-505,1788583508,1788912419.6153,60647,socks4,91.150.189.122:60647,True,181.55694007874,369082,1000920,26.940252641967,91.150.189.122
True,1788912412.197,elite,2874.5957026361,1710540132.3149,"AS50772 Ukrtranstelecom tc, ltd",UTT-AS,Kharkiv,Europe,EU,Ukraine,UA,,False,"Ukrtranstelecom tc, ltd",49.982,36.2566,False,UTT,True,Kharkiv Oblast,success,Europe/Kyiv,61000,1788378227,1788912419.5538,3629,socks4,195.78.100.186:3629,True,1262.6395225525,196032,1010543,16.246980088266,195.78.100.186
True,1788912339.678,elite,2154.5559917346,1783176859.2451,AS58715 EARTH TELECOMMUNICATION (Pvt) LTD.,EARTHTELECOMMUNICATION-AS,Paltan,Asia,AS,Bangladesh,BD,,False,Earth Telecommunication ( pvt ) Limited,23.7362,90.4143,False,,True,Dhaka Division,success,Asia/Dhaka,1000,1788777248,1788912419.528,1080,socks5,59.152.97.233:1080,True,1115.7793998718,125145,26192,82.692930347503,59.152.97.233
True,1788912292.2222,elite,9842.3539143315,1788008653.0024,AS24940 Hetzner Online GmbH,HETZNER-AS,Helsinki,Europe,EU,Finland,FI,,True,Hetzner Online GmbH,60.1719,24.9347,False,Hetzner Online GmbH,True,Uusimaa,success,Europe/Helsinki,00221,1788612897,1788912419.4619,9089,socks5,65.109.219.215:9089,True,400.66504478455,7357,11056,39.955466246674,65.109.219.215
True,1788853119.5256,elite,1362.1971451402,1778939367.6251,AS138995 Antbox Networks Limited,ANTBOX1-AS-AP,Hong Kong,Asia,AS,Hong Kong,HK,,False,Antbox Network Limited,22.3193,114.169,False,Antbox Network Limited,True,Kowloon,success,Asia/Hong_Kong,999077,1788614322,1788912419.4457,30001,socks5,45.194.33.12:30001,True,1195.1110363007,278475,964,99.655023099854,45.194.33.12
True,1788912375.4087,elite,3630.6092312223,1786697489.4927,AS44051 Fornex Hosting S.L.,FORNEX-AS,Frankfurt am Main,Europe,EU,Germany,DE,,True,Fornex Hosting S.L.,50.1169,8.6837,False,Fornex Hosting S.L,True,Hesse,success,Europe/Berlin,60313,1788510837,1788912419.3991,8080,socks4,130.17.13.182:8080,True,2161.484003067,19084,62364,23.430900697377,130.17.13.182
True,1788912419.3937,elite,123.63733709773,1786541389.3147,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,GCS-AS,Paris,Europe,EU,France,FR,,False,Global Connectivity Solutions LLP,48.8558,2.3494,False,Global Connectivity Solutions LLP,True,Île-de-France,success,Europe/Paris,75001,1788354181,1788912419.3937,1082,socks4,62.133.62.27:1082,True,54.996252059937,67782,56273,54.638668332594,62.133.62.27
True,1788824439.536,elite,1161.9759069527,1752072178.3183,AS4837 CHINA UNICOM China169 Backbone,CHINA169-Backbone,Jinrongjie,Asia,AS,China,CN,Xicheng District,False,CHINA UNICOM China169 Backbone,39.9236,116.36,False,huazhenggongXS com,True,Beijing,success,Asia/Shanghai,,1788364440,1788912419.3899,9091,http,113.204.79.230:9091,False,973.09517860413,535063,11992,97.807898657356,113.204.79.230
True,1788912328.334,elite,2721.7894206586,1776077962.4145,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,San Diego,North America,,United States,US,,False,Cox Communications Inc.,32.7449,-117.165,False,Cox Communications,True,California,success,America/Los_Angeles,92103,1788779988,1788912419.358,4145,socks5,24.249.199.4:4145,True,931.38265609741,120755,74896,61.719592539777,24.249.199.4
True,1788910097.6243,elite,5422.1303753163,1788898078.7484,AS24940 Hetzner Online GmbH,HETZNER-AS,Falkenstein,Europe,EU,Germany,DE,,True,Hetzner Online GmbH,50.4777,12.3649,False,Hetzner Online GmbH,False,Saxony,success,Europe/Berlin,08223,1788895129,1788912419.3537,8443,socks5,128.140.82.50:8443,True,1039.9086475372,608,15,97.592295345104,128.140.82.50
True,1788885030.4052,elite,1768.4305352587,1697032231.9881,AS6181 Cincinnati Bell Telephone Company LLC,FUSE-NET,Cincinnati,North America,,United States,US,,False,Fuse Internet Access,39.1091,-84.6082,False,Fuse Internet Access - BRAS Norwood Region,True,Ohio,success,America/New_York,45238,1788395688,1788912419.2089,31034,socks4,72.49.49.11:31034,True,885.50305366516,1170885,702530,62.500033361535,72.49.49.11
True,1788912419.18,elite,2140.3633658547,1786847170.314,AS36352 HostPapa,AS-COLOCROSSING,Dallas,North America,,United States,US,,True,HostPapa,32.7797,-96.8022,False,RackNerd LLC,True,Texas,success,America/Chicago,75270,1788658147,1788912419.18,1081,socks5,107.172.0.114:1081,True,627.357006073,7738,31248,19.848150618171,107.172.0.114
True,1788911184.278,elite,2275.7659576988,1788447971.085,AS197540 netcup GmbH,netcup-AS,Nuremberg,Europe,EU,Germany,DE,,True,netcup GmbH,49.4527,11.0783,False,netcup GmbH,True,Bavaria,success,Europe/Berlin,90403,1788445288,1788912419.1323,8081,socks4,152.53.183.107:8081,True,687.16812133789,38766,1153,97.111651093464,152.53.183.107
True,1788912387.9249,elite,3077.3968450796,1787553313.9659,AS23688 Link3 Technologies Ltd.,LINK3-TECH-AS-BD-AP,Dhaka,Asia,AS,Bangladesh,BD,,False,Link3 Technologies Limited,23.7534,90.3722,False,Corporate Subscriber,True,Dhaka Division,success,Asia/Dhaka,1209,1788759311,1788912419.122,1080,socks4,27.147.218.182:1080,True,775.43306350708,26185,37342,41.218694413399,27.147.218.182
True,1788912325.2256,elite,3650.4729606304,1788419408.0555,AS20081 NET2ATLANTA.COM LLC,NET2ATLANTA,Simpsonville,North America,,United States,US,,False,NET2ATLANTA.COM LLC,34.7518,-82.2556,False,NET2ATLANTA.COM LLC,False,South Carolina,success,America/New_York,29681,1788416248,1788912419.1194,4145,socks4,216.105.143.146:4145,True,739.41326141357,34570,4913,87.556669959223,216.105.143.146
True,1788912419.1108,elite,2533.0573213731,1769020419.8555,AS31200 Novotelecom Ltd,NTK,Novosibirsk,Europe,EU,Russia,RU,,False,Novotelecom Ltd,55.0386,82.9425,False,Novotelecom ltd.,True,Novosibirsk Oblast,success,Asia/Novosibirsk,630000,1788765924,1788912419.1108,1090,socks4,37.193.125.68:1090,True,420.56131362915,342596,269331,55.986416680421,37.193.125.68
True,1788857964.3566,elite,2350.9063888151,1787772077.7482,AS134420 Chongqing Telecom,CHINATELECOM-Chongqing-IDC,Chongqing,Asia,AS,China,CN,,False,Chongqing Telecom,29.5657,106.551,False,Chinanet CQ,True,Chongqing,success,Asia/Shanghai,,1788373900,1788912419.0031,1080,socks5,113.249.111.67:1080,True,1590.64412117,51908,721,98.630032871611,113.249.111.67
True,1788912418.9633,elite,3336.7812187577,1788864357.539,"AS210976 Timeweb, LLP",TWC-EU,Amsterdam,Europe,EU,The Netherlands,NL,,False,"Timeweb, LLP",52.3676,4.90414,False,"Timeweb, LLP",False,North Holland,success,Europe/Amsterdam,1012,1788862755,1788912418.9633,1080,socks5,89.19.216.187:1080,True,1070.1310634613,1358,442,75.444444444444,89.19.216.187
True,1788912388.8805,elite,1179.7993629838,1696974344.2054,AS17501 WorldLink Communications Pvt Ltd,WLINK-NEPAL-AS-AP,Kathmandu,Asia,AS,Nepal,NP,,False,WorldLink Communications,27.7108,85.3251,False,,True,Bagmati Province,success,Asia/Kathmandu,,1788567027,1788912418.9539,4153,socks4,202.166.219.80:4153,True,1096.6036319733,164716,982618,14.356412343746,202.166.219.80
True,1788685256.2263,anonymous,1193.5381600241,1756034724.8045,AS4788 TM TECHNOLOGY SERVICES SDN. BHD.,TTSSB-MY,Batu Caves,Asia,AS,Malaysia,MY,,False,ADSL Streamyx Telekom Malaysia,3.238,101.682,False,,True,Selangor,success,Asia/Kuala_Lumpur,68100,1788858591,1788912418.9274,80,http,219.93.101.62:80,False,643.59211921692,467969,40200,92.089245900478,219.93.101.62
True,1788912268.8785,elite,2894.6059868273,1783625452.9744,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,GCS-AS,Atlanta,North America,,United States,US,,False,Global Connectivity Solutions LLP,33.7501,-84.3885,False,Global Connectivity Solutions LLP,True,Georgia,success,America/New_York,30302,1788460615,1788912418.8523,1082,socks4,147.45.60.250:1082,True,510.21146774292,187658,102261,64.727734298201,147.45.60.250
True,1788912418.829,elite,3582.5591098939,1710564039.9443,AS27843 ON EMPRESAS S.A.C.,ON EMPRESAS S.A.C.,Lima,South America,SA,Peru,PE,,False,ON EMPRESAS S.A.C,-12.046,-77.0305,False,Miraflores De Turismo S.A.C,True,Lima Province,success,America/Lima,,1788744652,1788912418.829,37209,socks4,190.12.95.170:37209,True,966.44878387451,323095,1150963,21.918744038566,190.12.95.170
True,1788912340.1342,elite,3148.9975751525,1787877166.881,AS24550 Websurfer Nepal Internet Service Provider,WEBSURFERNP-AS-NP,Kathmandu,Asia,AS,Nepal,NP,Koteshwor,False,Websurfer Nepal Communication System Pvt. Ltd,27.6856,85.346,False,Websurfer Nepal Communication System Pvt. Ltd,True,Bagmati Province,success,Asia/Kathmandu,,1788478548,1788912418.7983,1080,socks4,116.90.234.106:1080,True,919.58451271057,34277,26228,56.651516403603,116.90.234.106
True,1788912294.4163,elite,3759.7653087364,1786087916.9323,AS133199 SonderCloud Limited,SONDERCLOUDLIMITED-AS-AP,Xiangyang,Asia,AS,China,CN,Fancheng Qu,True,SonderCloud Limited,32.0522,112.116,False,"Hubei Yunwutong Network Technology Co., Ltd",True,Hubei,success,Asia/Shanghai,441000,1788506151,1788912418.6396,10808,socks5,103.142.190.78:10808,True,3513.4675502777,33495,40360,45.352379662853,103.142.190.78
True,1788912407.9465,elite,1063.2184666442,1784844971.3799,AS20081 NET2ATLANTA.COM LLC,NET2ATLANTA,Atlanta,North America,,United States,US,,False,NET2ATLANTA.COM LLC,33.7838,-84.4455,False,NET2ATLANTA.COM LLC,True,Georgia,success,America/New_York,30318,1788472231,1788912418.5728,4145,socks4,199.66.183.251:4145,True,3759.4056129456,330233,5021,98.502329576977,199.66.183.251
True,1788912367.8225,elite,864.33665913842,1696967518.628,AS46562 Performive LLC,PERFORMIVE,Atlanta,North America,,United States,US,,True,Performive LLC,33.7488,-84.3877,False,Performive LLC,True,Georgia,success,America/New_York,30302,1788482029,1788912418.5006,16137,socks4,192.252.215.5:16137,True,740.40865898132,438009,1044855,29.538042598647,192.252.215.5
True,1788912371.4323,elite,6137.6554725904,1788414615.1634,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Hong Kong,Asia,AS,Hong Kong,HK,,True,Alibaba Cloud LLC,22.3193,114.169,False,Alibaba Cloud - HK,False,Kowloon,success,Asia/Hong_Kong,999077,1788413994,1788912418.4962,9898,socks4,47.86.231.27:9898,True,1833.7621688843,6651,13680,32.713590084108,47.86.231.27
True,1788912377.0242,elite,2709.9719428815,1710549516.6581,AS22773 Cox Communications Inc.,ASN-CXA-ALL-CCI-22773-RDC,Irvine,North America,,United States,US,,False,Cox Communications Inc.,33.6846,-117.827,False,Cox Communications,True,California,success,America/Los_Angeles,92612,1788738780,1788912418.4944,4145,socks4,72.195.101.99:4145,True,1816.7760372162,515529,1063576,32.646910750077,72.195.101.99
True,1788912378.46,elite,1679.4593857446,1788501431.7282,"AS132203 Tencent Building, Kejizhongyi Avenue",TENCENT-NET-AP-CN,Santa Clara,North America,,United States,US,,True,OPHL,37.353,-121.9544,False,"Tencent cloud computing (Beijing) Co., Ltd.",False,California,success,America/Los_Angeles,95052,1788501005,1788912418.4804,1080,socks4,49.51.250.24:1080,True,1717.1120643616,5807,10994,34.563418844116,49.51.250.24
True,1788912418.472,elite,2993.870373454,1783626164.4789,AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP,GCS-AS,Atlanta,North America,,United States,US,,False,Global Connectivity Solutions LLP,33.7501,-84.3885,False,Global Connectivity Solutions LLP,True,Georgia,success,America/New_York,30302,1788460790,1788912418.472,1082,socks5,147.45.60.250:1082,True,1644.5362567902,86714,54015,61.617719162362,147.45.60.250
True,1788912042.6339,elite,9724.9345808158,1786782829.7452,AS132165 Connect Communications,CONNECT-AS-AP,Tando Adam,Asia,AS,Pakistan,PK,,False,Connect Communication,25.8943,68.5247,False,WANGSU,True,Sindh,success,Asia/Karachi,68050,1788595570,1788912418.4488,10921,socks4,111.119.162.248:10921,True,1869.8256015778,44604,45955,49.254077452269,111.119.162.248
True,1788912389.4075,elite,3263.2639077324,1776089471.73,AS52468 UFINET PANAMA S.A.,UFINET PANAMA S.A.,Babahoyo,South America,SA,Ecuador,EC,,False,Ufinet Panama S.A.,-1.7984,-79.5359,False,UFINET,True,Los Ríos,success,America/Guayaquil,,1788786821,1788912418.3907,8080,socks4,160.20.165.242:8080,True,3893.5284614563,273170,298921,47.749396512093,160.20.165.242
