alive,alive_since,anonymity,average_timeout,first_seen,ip_data_as,ip_data_asname,ip_data_city,ip_data_continent,ip_data_continentCode,ip_data_country,ip_data_countryCode,ip_data_district,ip_data_hosting,ip_data_isp,ip_data_lat,ip_data_lon,ip_data_mobile,ip_data_org,ip_data_proxy,ip_data_regionName,ip_data_status,ip_data_timezone,ip_data_zip,ip_data_last_update,last_seen,port,protocol,proxy,ssl,timeout,times_alive,times_dead,uptime,ip
true,1788645750.6371,elite,10261.555363824,1776807715.6064,"AS17970 SKYBroadband SKYCable Corporation",SKYBB-AS-AP,"San Juan",Asia,AS,Philippines,PH,,false,"Sky Cable Corporation",14.5996,121.037,false,"TRI PH",true,"Metro Manila",success,Asia/Manila,1500,1788296693,1788645750.6371,58765,socks5,103.239.201.33:58765,true,2152.5676250458,14046,107963,11.512265488611,103.239.201.33
true,1788645733.455,elite,4139.5602958966,1787564680.8417,"AS262996 MEGAMINAS TELECOMUNICACOES LTDA","MEGAMINAS TELECOMUNICACOES LTDA",Capitólio,"South America",SA,Brazil,BR,,false,"Minas Telecomunicacoes E Informatica Ltda ME",-20.5923,-46.1572,false,"Megaminas Telecomunicacoes Ltda",false,"Minas Gerais",success,America/Sao_Paulo,37930,1788167552,1788645750.6348,7080,socks5,186.219.212.53:7080,true,1288.1681919098,4549,15798,22.357104241412,186.219.212.53
true,1788645540.793,elite,1192.4763699194,1788561912.9934,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,"DigitalOcean, LLC",1.32123,103.695,false,"DigitalOcean, LLC",true,"South West",success,Asia/Singapore,627753,1788560647,1788645750.6147,1080,socks5,167.172.85.172:1080,true,987.32352256775,2789,547,83.603117505995,167.172.85.172
true,1788645671.2666,elite,2742.7574765993,1783186400.8563,"AS49571 CELLNET Company for Internet Services Ltd.",CELLNET-AS,Sulaymaniyah,Asia,AS,Iraq,IQ,,false,"CELLNET - Garden City",35.565,45.4329,false,"CellNet ltd",true,"Sulaymaniyah Governorate",success,Asia/Baghdad,,1788629313,1788645750.5471,1080,socks4,188.72.16.74:1080,true,430.21368980408,144173,126746,53.216274975177,188.72.16.74
true,1788645713.1655,elite,3252.1597627975,1776088344.5239,"AS23969 TOT Public Company Limited",TOT-NET,Bangkok,Asia,AS,Thailand,TH,,false,"TOT Public Company Limited",13.7663,100.6503,false,"TOT Public Company Limited",true,Bangkok,success,Asia/Bangkok,10240,1788182064,1788645750.5369,4153,socks4,125.25.57.57:4153,true,876.61576271057,256192,292020,46.732286049922,125.25.57.57
true,1788645750.5347,elite,3459.0395896533,1785584917.1103,"AS13489 UNE EPM TELECOMUNICACIONES S.A.","UNE EPM TELECOMUNICACIONES S.A.",Medellín,"South America",SA,Colombia,CO,,false,"EPM Telecomunicaciones S.A. E.S.P.",6.2529,-75.5646,true,"EPM Telecomunicaciones S.A. E.S.P",true,Antioquia,success,America/Bogota,050001,1788606339,1788645750.5347,5678,socks4,181.143.81.51:5678,true,851.8545627594,34244,87300,28.174159152241,181.143.81.51
true,1788555935.6212,elite,1758.8042636514,1776079653.542,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Macon,"North America",NA,"United States",US,,false,"Cox Communications Inc.",32.8407,-83.6324,false,"Cox Communications Inc.",true,Georgia,success,America/New_York,31202,1788174366,1788645750.4075,4145,socks4,184.182.240.211:4145,true,1940.9775733948,952832,1106,99.88405955104,184.182.240.211
true,1788636881.1618,elite,796.72944573192,1786440415.7358,"AS20473 The Constant Company, LLC",AS-VULTR,Miami,"North America",NA,"United States",US,,true,"The Constant Company",25.8119,-80.2318,false,"Vultr Holdings, LLC",true,Florida,success,America/New_York,33142,1788625701,1788645750.3841,1088,socks5,45.32.160.61:1088,true,721.05479240417,7820,15,99.808551372048,45.32.160.61
true,1788645678.3341,elite,4080.0607297913,1777029989.1633,"AS20473 The Constant Company, LLC",AS-VULTR,"Elk Grove Village","North America",NA,"United States",US,,true,"The Constant Company",42.0048,-87.9954,false,"Vultr Holdings, LLC",true,Illinois,success,America/Chicago,60007,1788177587,1788645750.2999,1080,socks5,104.207.139.62:1080,true,1663.3424758911,61031,35790,63.034878796955,104.207.139.62
true,1788583020.8674,elite,2281.5490979744,1776081986.5473,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4077,-87.219,false,"Cox Communications Inc.",true,Florida,success,America/Chicago,32516,1788175146,1788645750.2483,4145,socks5,184.185.2.12:4145,true,3312.1154308319,284986,455,99.840597531539,184.185.2.12
true,1788645750.173,elite,2498.4538361897,1783269364.3709,"AS196815 LAN servis s.r.o.",LANSERVIS-AS,Přerov,Europe,EU,Czechia,CZ,,false,"LAN servis s.r.o",49.4137,17.5032,false,"LANservis s.r.o",true,"Olomouc Region",success,Europe/Prague,"750 02",1788108117,1788645750.173,1080,socks4,109.69.211.18:1080,true,106.60266876221,143912,125022,53.512014100114,109.69.211.18
true,1788645750.1311,elite,2441.5892822971,1783234636.3652,"AS44613 Ogmios centras AS number",OGMIOS-AS,Vilnius,Europe,EU,Lithuania,LT,,false,"AB ""Ogmios Centras""",54.6876,25.2806,false,Intesta,true,Vilnius,success,Europe/Vilnius,01001,1788071888,1788645750.1311,1080,socks4,93.93.61.153:1080,true,3177.0861148834,146035,123135,54.253817290188,93.93.61.153
true,1788645709.1386,elite,2245.4590917993,1710543661.2451,"AS42510 FOP Makurin Stanislav Volodimirovich",WDM-AS,Kyiv,Europe,EU,Ukraine,UA,,false,"Magic Line",50.458,30.5303,false,"PE ""Magic-line""",true,"Kyiv City",success,Europe/Kyiv,02095,1788567501,1788645749.9922,5678,socks4,193.106.57.96:5678,true,1234.8484992981,238832,882531,21.298366363078,193.106.57.96
true,1788645749.8863,elite,1449.2958281755,1788555136.7787,"AS24940 Hetzner Online GmbH",HETZNER-AS,Falkenstein,Europe,EU,Germany,DE,,true,"Hetzner Online GmbH",50.4777,12.3649,false,Hetzner,false,Saxony,success,Europe/Berlin,08223,1788552525,1788645749.8863,1087,socks5,49.13.87.123:1087,true,1612.2567653656,757,1053,41.82320441989,49.13.87.123
true,1788645667.7286,elite,9998.6942088801,1786783469.5786,"AS132165 Connect Communications",CONNECT-AS-AP,"Tando Adam",Asia,AS,Pakistan,PK,,false,"Connect Communication",25.8943,68.5247,false,WANGSU,true,Sindh,success,Asia/Karachi,68050,1788595380,1788645749.8827,10919,socks5,111.119.162.248:10919,true,3460.9422683716,21024,23510,47.208874118651,111.119.162.248
true,1788645749.8448,elite,6351.583422637,1776091981.3066,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Amsterdam,Europe,EU,"The Netherlands",NL,,true,"DigitalOcean, LLC",52.352,4.9392,false,"DigitalOcean, LLC",true,"North Holland",success,Europe/Amsterdam,1098,1788186206,1788645749.8448,1080,socks5,128.199.37.92:1080,true,1161.4305973053,109273,82190,57.072645889806,128.199.37.92
true,1788645628.712,elite,7021.9332526222,1787499003.6167,"AS9009 M247 Europe SRL",M247,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Secure Internet LLC",50.1109,8.68213,false,"Internet Security - AU",true,Hesse,success,Europe/Berlin,60313,1788100645,1788645749.8305,32720,socks5,45.74.31.30:32720,true,460.44301986694,5789,12330,31.949886859098,45.74.31.30
true,1788645749.8047,elite,4046.2481310416,1785483787.5834,"AS55701 PT. Usaha Adisanggoro",ASNET-AS-ID,Jakarta,Asia,AS,Indonesia,ID,,true,"PT Usaha Adi Sanggoro",-6.21462,106.845,false,,true,Jakarta,success,Asia/Jakarta,,1788505368,1788645749.8047,1080,socks5,49.0.0.175:1080,true,1137.1464729309,38947,51519,43.051533172684,49.0.0.175
true,1788645689.219,elite,3405.6135854006,1776079862.7041,"AS23991 Ranks ITT Ltd.",RANKS-AS-BD,Dhaka,Asia,AS,Bangladesh,BD,,false,"Ranks ITT",23.7571,90.404,false,"Ranks ITT Ltd.",true,"Dhaka Division",success,Asia/Dhaka,1208,1788174475,1788645749.7511,5678,socks4,202.40.177.94:5678,true,925.36807060242,248238,298980,45.363639353969,202.40.177.94
true,1788645640.5777,elite,3001.9755811829,1783626164.4789,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Atlanta,"North America",NA,"United States",US,,false,"Global Connectivity Solutions LLP",33.7501,-84.3885,false,"Global Connectivity Solutions LLP",true,Georgia,success,America/New_York,30302,1788460790,1788645749.6884,1082,socks5,147.45.60.250:1082,true,604.96401786804,80029,50886,61.130504525837,147.45.60.250
true,1788326840.7666,elite,968.77517603387,1710699776.4593,"AS23764 CTGNet",CTGNet,"Hong Kong",Asia,AS,"Hong Kong",HK,,false,"China Telecom Global networks",22.3193,114.169,false,,true,Kowloon,success,Asia/Hong_Kong,999077,1788312133,1788645749.6616,1080,http,203.19.38.114:1080,false,498.53539466858,878973,263827,76.91398319916,203.19.38.114
true,1788645740.3513,elite,3391.2422384315,1776079815.1177,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Irvine,"North America",NA,"United States",US,,false,"Cox Communications Inc.",33.6846,-117.827,false,"Cox Communications",true,California,success,America/Los_Angeles,92612,1788174420,1788645749.6459,4145,socks4,72.195.34.59:4145,true,3785.5939865112,340229,292977,53.731171214423,72.195.34.59
true,1788645689.7553,elite,1145.6912339683,1776078373.0139,"AS46562 Performive LLC",PERFORMIVE,Atlanta,"North America",NA,"United States",US,,true,"Performive LLC",33.7488,-84.3877,false,"Performive LLC",true,Georgia,success,America/New_York,30302,1788177318,1788645749.5554,4145,socks5,192.111.139.165:4145,true,879.47225570679,88317,73102,54.712890056313,192.111.139.165
true,1788638646.9998,elite,3463.3857665218,1788300094.2861,"AS4808 China Unicom Beijing Province Network",CHINA169-BJ,Jinrongjie,Asia,AS,China,CN,"Xicheng District",false,"China Unicom Beijing Province Network",39.9236,116.36,false,,false,Beijing,success,Asia/Shanghai,,1788298651,1788645749.5317,18888,socks5,111.206.4.163:18888,true,3865.7350540161,16885,283,98.351584342964,111.206.4.163
true,1788621857.4534,elite,886.77161026903,1781058435.9784,"AS51167 Contabo GmbH",CONTABO,Lauterbourg,Europe,EU,France,FR,,true,"Contabo GmbH",48.9742,8.1851,false,"Contabo GmbH",true,"Grand Est",success,Europe/Paris,67630,1788087524,1788645749.5297,1080,socks5,213.199.47.140:1080,true,318.75205039978,131973,5054,96.311675801119,213.199.47.140
true,1788645343.9641,elite,2144.9888829278,1776078274.1852,"AS60404 Liteserver",Liteserver,Dronten,Europe,EU,"The Netherlands",NL,,true,"The Infrastructure Group B.V.",52.5378,5.6966,false,TIG,true,Flevoland,success,Europe/Amsterdam,8253,1788587908,1788645749.4848,1080,socks5,5.255.99.75:1080,true,97.469806671143,148157,35960,80.46894094516,5.255.99.75
true,1788645696.8749,elite,8976.1730401006,1786779458.4081,"AS132165 Connect Communications",CONNECT-AS-AP,"Tando Adam",Asia,AS,Pakistan,PK,,false,"Connect Communication",25.8943,68.5247,false,WANGSU,true,Sindh,success,Asia/Karachi,68050,1788593844,1788645749.475,10905,socks5,111.119.162.248:10905,true,2664.6018028259,18594,24201,43.449001051525,111.119.162.248
true,1788645744.913,elite,2671.1012706853,1784092746.7266,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Atlanta,"North America",NA,"United States",US,,false,"Global Connectivity Solutions LLP",33.7501,-84.3885,false,"Global Connectivity Solutions LLP",true,Georgia,success,America/New_York,30302,1788324907,1788645749.4657,1082,socks4,147.45.60.139:1082,true,3555.3770065308,152804,86749,63.787136875764,147.45.60.139
true,1788645749.4491,elite,2080.5792343977,1785402723.5558,"AS215540 GLOBAL CONNECTIVITY SOLUTIONS LLP",GCS-AS,Paris,Europe,EU,France,FR,,false,"Global Connectivity Solutions LLP",48.8558,2.3494,false,"Global Connectivity Solutions LLP",true,Île-de-France,success,Europe/Paris,75001,1788426157,1788645749.4491,1082,socks4,109.172.55.177:1082,true,1058.7675571442,110308,74867,59.569596327798,109.172.55.177
true,1788645600.4749,elite,3417.5760151104,1783236738.1133,"AS17806 Tire-1 IP Transit Provider of Bangladesh",MANGOTELESERVICE-AS-BD,Dhaka,Asia,AS,Bangladesh,BD,,false,"Mango Teleservices Limited",23.7806,90.4038,false,"Mango Teleservices Limited",true,"Dhaka Division",success,Asia/Dhaka,1208,1788071892,1788645749.3241,1080,socks4,114.130.89.94:1080,true,1056.7409992218,144917,125016,53.686285115195,114.130.89.94
true,1788645685.793,elite,3267.2938880716,1783609350.3307,"AS142347 PT Sarana Media Cemerlang",IDNIC-JAGONET-AS-ID,Ponorogo,Asia,AS,Indonesia,ID,,false,"Sarana Media Cemerlang",-7.8685,111.462,false,,true,"East Java",success,Asia/Jakarta,,1788445652,1788645749.269,36473,socks4,103.169.189.155:36473,true,1973.8245010376,162184,111346,59.292947757102,103.169.189.155
true,1788645712.269,elite,2364.9941304411,1783185012.0582,"AS202652 Elevi AS",ELEVI-AS,Tartu,Europe,EU,Estonia,EE,,false,"SkyLive Telecom ldt",58.3794,26.7322,false,Elevi,true,Tartu,success,Europe/Tallinn,,1788627213,1788645749.2334,5678,socks4,185.157.111.3:5678,true,229.98905181885,159351,121881,56.661759685953,185.157.111.3
true,1788645697.6159,elite,248.94854638505,1788585947.6081,"AS53667 FranTech Solutions",PONYNET,Roost,Europe,EU,Luxembourg,LU,,true,"FranTech Solutions",49.7866,6.0753,false,BuyVM,true,Mersch,success,Europe/Luxembourg,L-7759,1788584066,1788645749.1653,1080,socks5,107.189.4.144:1080,true,73.974370956421,1981,411,82.817725752508,107.189.4.144
true,1788645749.1641,elite,3612.9634333307,1783571906.3057,"AS7552 Viettel Group",VIETEL-AS-AP,Hanoi,Asia,AS,Vietnam,VN,,false,"Viettel Group",21.0278,105.834,false,VIETTEL,true,Hanoi,success,Asia/Bangkok,,1788407348,1788645749.1641,4153,socks4,116.97.117.27:4153,true,1082.7000141144,86150,132989,39.312947489949,116.97.117.27
true,1788645676.5188,elite,9510.0580369019,1786784148.0819,"AS132165 Connect Communications",CONNECT-AS-AP,"Tando Adam",Asia,AS,Pakistan,PK,,false,"Connect Communication",25.8943,68.5247,false,WANGSU,true,Sindh,success,Asia/Karachi,68050,1788595572,1788645749.1539,10902,socks4,111.119.162.248:10902,true,4057.2412014008,41278,40234,50.640396506036,111.119.162.248
true,1788645692.6438,elite,417.86375537558,1769020046.2293,"AS215439 PLAY2GO INTERNATIONAL LIMITED",PLAY2GO-NET,Helsinki,Europe,EU,Finland,FI,,true,"Play2go International Limited",60.1719,24.9347,false,"Play2go LTD",true,Uusimaa,success,Europe/Helsinki,00221,1788063080,1788645749.1065,50080,socks5,31.13.208.125:50080,true,372.11585044861,5488,73537,6.9446377728567,31.13.208.125
true,1788645688.4295,elite,6630.155304035,1787866054.1551,"AS200019 ALEXHOST SRL",AlexHost,Stockholm,Europe,EU,Sweden,SE,,true,"Alexhost SRL",59.3287,18.0717,false,,true,"Stockholm County",success,Europe/Stockholm,"100 04",1788469498,1788645749.0361,1081,socks5,143.246.197.187:1081,true,3911.860704422,2580,10749,19.356290794508,143.246.197.187
true,1788645677.0711,elite,3491.1793788906,1786262473.2376,"AS270399 Itaconect Serviços de Comunicação e Multimidia","Itaconect Serviços de Comunicação e Multimidia",Itanhém,"South America",SA,Brazil,BR,,false,"Itaconect Serviços de Comunicação e Multimidia",-17.083,-40.3633,false,"Itaconect Serviços de Comunicação e Multimidia",false,Bahia,success,America/Bahia,45970,1788073806,1788645748.9958,1080,socks4,190.89.4.182:1080,true,4266.9162750244,42665,61147,41.09833159943,190.89.4.182
true,1788435730.5441,elite,267.09101205694,1788400177.7123,"AS208286 Max tv SH. P. K",MAXTV,Srbica,Europe,EU,Kosovo,XK,,true,"Max tv SH. P. K",42.7467,20.7886,false,"Max tv SH. P. K",false,Mitrovica,success,Europe/Belgrade,,1788398587,1788645748.9676,1080,socks5,185.222.138.237:1080,true,216.09163284302,12372,1,99.991917885719,185.222.138.237
true,1788645625.6853,elite,2659.466782563,1776078047.2772,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Tulsa,"North America",NA,"United States",US,,false,"Cox Communications Inc.",36.0496,-95.8858,false,"Cox Communications",true,Oklahoma,success,America/Chicago,74133,1788177142,1788645748.9124,10919,socks5,98.178.72.21:10919,true,961.20285987854,128885,67626,65.586659270982,98.178.72.21
true,1788645081.1359,elite,2525.5880631546,1777714475.096,"AS35100 Patrik Lagerman",PatrikWeb-Core,Vaxjo,Europe,EU,Sweden,SE,,false,"Patrik Lagerman",56.8746,14.8124,false,Kronnet,true,"Kronoberg County",success,Europe/Stockholm,"352 29",1788606054,1788645748.9088,1080,socks5,171.25.158.95:1080,true,3448.0495452881,186477,11061,94.400571029372,171.25.158.95
true,1788645680.2131,elite,3571.7436460871,1783220824.8118,"AS4750 CS LOXINFO PUBLIC COMPANY LIMITED",CSLOXINFO-AS-AP,"Huai Khwang",Asia,AS,Thailand,TH,"Khwaeng Huai Khwang",false,sinokor1,13.7697,100.574,false,"Sinokor Merchant Marine (Thailand) Co., Ltd.",true,Bangkok,success,Asia/Bangkok,10320,1788056337,1788645748.9052,1080,socks4,203.172.120.179:1080,true,2099.4739532471,130780,131123,49.934517741301,203.172.120.179
true,1788645457.376,elite,1331.0668997409,1788426413.4396,"AS14061 DigitalOcean, LLC",DIGITALOCEAN-ASN,Singapore,Asia,AS,Singapore,SG,Pioneer,true,"DigitalOcean, LLC",1.32123,103.695,false,"DigitalOcean, LLC",false,"South West",success,Asia/Singapore,627753,1788423812,1788645748.8647,1080,socks5,167.172.64.222:1080,true,945.71018218994,7486,1734,81.19305856833,167.172.64.222
true,1788642645.3617,transparent,1021.1936678508,1786813761.4295,"AS263703 VIGINET C.A","VIGINET C.A","San Carlos del Zulia","South America",SA,Venezuela,VE,,false,"Viginet C.A",9.00098,-71.9268,false,,true,Zulia,success,America/Caracas,,1788625459,1788645748.8425,999,http,190.97.236.129:999,true,600.78978538513,25401,1356,94.932167283328,190.97.236.129
true,1788645674.6098,elite,8362.0719307835,1787487808.3714,"AS9009 M247 Europe SRL",M247,"Frankfurt am Main",Europe,EU,Germany,DE,,true,"Secure Internet LLC",50.1109,8.68213,false,"Internet Security - AU",true,Hesse,success,Europe/Berlin,60313,1788090727,1788645748.8361,11476,socks5,45.74.31.30:11476,true,1388.0853652954,928,7107,11.549471064095,45.74.31.30
true,1788645674.0162,elite,2534.9687466301,1776079055.8527,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Roanoke,"North America",NA,"United States",US,,false,"Cox Communications Inc.",37.2681,-79.9404,false,"Cox Communications Inc.",true,Virginia,success,America/New_York,24023,1788176372,1788645748.8083,15291,socks5,184.178.172.25:15291,true,3957.1599960327,153417,59024,72.216285933506,184.178.172.25
true,1788645734.481,elite,2574.7299867736,1696985504.719,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Roanoke,"North America",NA,"United States",US,,false,"Cox Communications Inc.",37.2681,-79.9404,false,"Cox Communications Inc.",true,Virginia,success,America/New_York,24023,1788219821,1788645748.7864,4145,socks4,184.178.172.14:4145,true,3855.1232814789,831092,882606,48.496993052451,184.178.172.14
true,1788645736.2294,elite,3722.1132815429,1787846488.6182,"AS38156 PT. Union Routelink Communication",ROUTELINK-AS-ID,Pundong,Asia,AS,Indonesia,ID,,false,"Internet Service Provider",-7.95222,110.349,false,Routelink,true,Yogyakarta,success,Asia/Jakarta,,1788449268,1788645748.7452,1080,socks4,103.161.62.153:1080,true,1092.6704406738,8756,24166,26.596197071867,103.161.62.153
true,1788645673.5148,elite,11762.985602009,1779448418.1548,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Minkler,"North America",NA,"United States",US,,true,"Alibaba Cloud LLC",36.7783,-119.418,false,"Alibaba Cloud - US",true,California,success,America/Los_Angeles,,1788520256,1788645748.7402,1080,socks5,47.251.127.154:1080,true,908.07819366455,186619,41491,81.810609747009,47.251.127.154
true,1788645637.5291,elite,2601.279823902,1697035420.0374,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,Pensacola,"North America",NA,"United States",US,,false,"Cox Communications Inc.",30.4077,-87.219,false,"Cox Communications",true,Florida,success,America/Chicago,32516,1788244551,1788645748.6379,4145,socks4,184.181.217.220:4145,true,802.63638496399,819048,803782,50.470351176648,184.181.217.220
true,1788645738.0011,elite,9639.4538672067,1779448217.2642,"AS45102 Alibaba (US) Technology Co., Ltd.",ALIBABA-CN-NET,Minkler,"North America",NA,"United States",US,,true,"Alibaba Cloud LLC",36.7783,-119.418,false,"Alibaba Cloud - US",true,California,success,America/Los_Angeles,,1788520159,1788645748.6058,1080,socks4,47.251.127.154:1080,true,623.25263023376,519421,92287,84.913226572155,47.251.127.154
true,1788645748.4749,elite,3352.1381811352,1788502758.6283,"AS22773 Cox Communications Inc.",ASN-CXA-ALL-CCI-22773-RDC,"San Diego","North America",NA,"United States",US,,false,"Cox Communications Inc",32.7994,-117.1686,false,"Cox Communications, Inc",false,California,success,America/Los_Angeles,92111,1788502130,1788645748.4749,4145,socks4,72.194.42.131:4145,true,1823.787689209,3500,4211,45.389703021657,72.194.42.131
